Season,Season_encoded,Team,Matches_Played,Home_Matches,Away_Matches,Wins,Draws,Losses,Home_Wins,Away_Wins,Points,Points_Per_Game,Goals_Scored,Goals_Conceded,Goal_Difference,Avg_Goals_Scored,Avg_Goals_Conceded,Total_Shots,Total_Shots_On_Target,Avg_Shots,Avg_Shots_On_Target,Shot_Accuracy,Clean_Sheets,Clean_Sheet_Rate,Yellow_Cards,Red_Cards,Fouls,Corners,Avg_Corners,Win_Rate,Home_Win_Rate,Away_Win_Rate,Final_Position,Team_encoded
2003-04,3,Charlton,38,19,19,14,11,13,7,7,53,1.394736842105263,51,51,0,1.3421052631578947,1.3421052631578947,384.0,200.0,10.105263157894736,5.2631578947368425,52.083333333333336,10,0.2631578947368421,36.0,3.0,468.0,201.0,5.2894736842105265,0.3684210526315789,0.3684210526315789,0.3684210526315789,7,12
2003-04,3,Bolton,38,19,19,14,11,13,6,8,53,1.394736842105263,48,56,-8,1.263157894736842,1.4736842105263157,533.0,290.0,14.026315789473685,7.631578947368421,54.409005628517825,10,0.2631578947368421,66.0,0.0,461.0,238.0,6.2631578947368425,0.3684210526315789,0.3157894736842105,0.42105263157894735,8,5
2003-04,3,Fulham,38,19,19,14,10,14,9,5,52,1.368421052631579,52,46,6,1.368421052631579,1.2105263157894737,402.0,221.0,10.578947368421053,5.815789473684211,54.975124378109456,15,0.39473684210526316,61.0,3.0,513.0,160.0,4.2105263157894735,0.3684210526315789,0.47368421052631576,0.2631578947368421,9,18
2003-04,3,Birmingham,38,19,19,12,14,12,8,4,50,1.3157894736842106,43,48,-5,1.131578947368421,1.263157894736842,328.0,176.0,8.631578947368421,4.631578947368421,53.65853658536586,15,0.39473684210526316,45.0,5.0,505.0,185.0,4.868421052631579,0.3157894736842105,0.42105263157894735,0.21052631578947367,10,2
2003-04,3,Middlesbrough,38,19,19,13,9,16,8,5,48,1.263157894736842,44,52,-8,1.1578947368421053,1.368421052631579,461.0,254.0,12.131578947368421,6.684210526315789,55.09761388286334,14,0.3684210526315789,57.0,1.0,497.0,177.0,4.657894736842105,0.34210526315789475,0.42105263157894735,0.2631578947368421,11,28
2003-04,3,Southampton,38,19,19,12,11,15,8,4,47,1.236842105263158,44,45,-1,1.1578947368421053,1.1842105263157894,457.0,265.0,12.026315789473685,6.973684210526316,57.98687089715536,12,0.3157894736842105,52.0,3.0,451.0,221.0,5.815789473684211,0.3157894736842105,0.42105263157894735,0.21052631578947367,12,36
2003-04,3,Portsmouth,38,19,19,12,9,17,10,2,45,1.1842105263157894,47,54,-7,1.236842105263158,1.4210526315789473,403.0,217.0,10.605263157894736,5.7105263157894735,53.84615384615385,8,0.21052631578947367,62.0,3.0,550.0,193.0,5.078947368421052,0.3157894736842105,0.5263157894736842,0.10526315789473684,13,32
2003-04,3,Tottenham,38,19,19,13,6,19,9,4,45,1.1842105263157894,47,57,-10,1.236842105263158,1.5,421.0,234.0,11.078947368421053,6.157894736842105,55.58194774346793,8,0.21052631578947367,60.0,1.0,564.0,198.0,5.2105263157894735,0.34210526315789475,0.47368421052631576,0.21052631578947367,14,40
2003-04,3,Blackburn,38,19,19,12,8,18,5,7,44,1.1578947368421053,51,59,-8,1.3421052631578947,1.5526315789473684,451.0,232.0,11.868421052631579,6.105263157894737,51.44124168514412,8,0.21052631578947367,61.0,3.0,513.0,227.0,5.973684210526316,0.3157894736842105,0.2631578947368421,0.3684210526315789,15,3
2003-04,3,Man City,38,19,19,9,14,15,5,4,41,1.0789473684210527,55,54,1,1.4473684210526316,1.4210526315789473,515.0,292.0,13.552631578947368,7.684210526315789,56.699029126213595,7,0.18421052631578946,47.0,3.0,425.0,221.0,5.815789473684211,0.23684210526315788,0.2631578947368421,0.21052631578947367,16,26
